38161 88.88 1 18 
38160 89.41 2 18 
37529 89.41 3 18 
37529 89.41 4 18 
36191 79.53 5 18 
38687 88.88 1 17 
38686 89.41 2 17 
38055 89.41 3 17 
38055 89.41 4 17 
36717 79.53 5 17 
38477 88.88 1 16 
38475 89.41 2 16 
37844 89.41 3 16 
37844 89.41 4 16 
36506 79.53 5 16 
38266 88.88 1 15 
38265 89.41 2 15 
37634 89.41 3 15 
37634 89.41 4 15 
36296 79.53 5 15 
38056 88.88 1 14 
38055 89.41 2 14 
37424 89.41 3 14 
37424 89.41 4 14 
36086 79.53 5 14 
37846 88.88 1 13 
37844 89.41 2 13 
37213 89.41 3 13 
37213 89.41 4 13 
35875 79.53 5 13 
37635 88.88 1 12 
37634 89.41 2 12 
37003 89.41 3 12 
37003 89.41 4 12 
35665 79.53 5 12 
37425 88.88 1 11 
37424 89.41 2 11 
36793 89.41 3 11 
36793 89.41 4 11 
35455 79.53 5 11 
37215 88.88 1 10 
37213 89.41 2 10 
36582 89.41 3 10 
36582 89.41 4 10 
35244 79.53 5 10 
37004 88.88 1 9 
37003 89.41 2 9 
36372 89.41 3 9 
36372 89.41 4 9 
35034 79.53 5 9 
36794 88.88 1 8 
36793 89.41 2 8 
36162 89.41 3 8 
36162 89.41 4 8 
34824 79.53 5 8 
36584 88.88 1 7 
36582 89.41 2 7 
35951 89.41 3 7 
35951 89.41 4 7 
34613 79.53 5 7 
36373 88.88 1 6 
36372 89.41 2 6 
35741 89.41 3 6 
35741 89.41 4 6 
34403 79.53 5 6 
36163 88.88 1 5 
36162 89.41 2 5 
35531 89.41 3 5 
35531 89.41 4 5 
34193 79.53 5 5 
35848 88.88 1 4 
35846 89.41 2 4 
35215 89.41 3 4 
35215 89.41 4 4 
33877 79.53 5 4 
35637 88.88 1 3 
35636 89.41 2 3 
35005 89.41 3 3 
35005 89.41 4 3 
33667 79.53 5 3 
35427 88.88 1 2 
35425 89.41 2 2 
34794 89.41 3 2 
34794 89.41 4 2 
33457 79.53 5 2 
35217 88.88 1 1 
35215 89.41 2 1 
35387 81.29 1 31 
38303 91.38 2 31 
38305 90.84 3 31 
37422 110.62 4 31 
38370 128.55 5 31 
36229 81.29 1 30 
38829 91.38 2 30 
38830 90.84 3 30 
38263 110.62 4 30 
39211 128.55 5 30 
36229 81.29 1 29 
38830 90.84 3 29 
38263 110.62 4 29 
39211 128.55 5 29 
36229 81.29 1 28 
38830 90.84 3 28 
38263 110.62 4 28 
36229 81.29 1 27 
38829 91.38 2 27 
38830 90.84 3 27 
38263 110.62 4 27 
39211 128.55 5 27 
36229 81.29 1 26 
38724 91.38 2 26 
38725 90.84 3 26 
38263 110.62 4 26 
36229 81.29 1 25 
38619 91.38 2 25 
38620 90.84 3 25 
39211 128.55 5 25 
36176 81.29 1 24 
38514 91.38 2 24 
38515 90.84 3 24 
38211 110.62 4 24 
39159 128.55 5 24 
36123 81.29 1 23 
38408 91.38 2 23 
38410 90.84 3 23 
39106 128.55 5 23 
36071 81.29 1 22 
38303 91.38 2 22 
38198 91.38 2 21 
38200 90.84 3 21 
35966 81.29 1 20 
38093 91.38 2 20 
38094 90.84 3 20 
38948 128.55 5 20 
35913 81.29 1 19 
37989 90.84 3 19 
38896 128.55 5 19 
35808 81.29 1 18 
37884 90.84 3 18 
37843 110.62 4 18 
38791 128.55 5 18 
35703 81.29 1 17 
38685 128.55 5 17 
37674 90.84 3 16 
37527 110.62 4 15 
35387 81.29 1 14 
37462 91.38 2 14 
37463 90.84 3 14 
37422 110.62 4 14 
38370 128.55 5 14 
35282 81.29 1 13 
37146 91.38 2 11 
36896 110.62 4 9 
37844 128.55 5 9 
37739 128.55 5 8 
34651 81.29 1 7 
36726 91.38 2 7 
34546 81.29 1 6 
37529 128.55 5 6 
34441 81.29 1 5 
36516 91.38 2 5 
36475 110.62 4 5 
37423 128.55 5 5 
34020 81.29 1 4 
36096 90.84 3 4 
36055 110.62 4 4 
37003 128.55 5 4 
33915 81.29 1 3 
35991 90.84 3 3 
35950 110.62 4 3 
36898 128.55 5 3 
33494 81.29 1 2 
35569 91.38 2 2 
35570 90.84 3 2 
35529 110.62 4 2 
36477 128.55 5 2 
36297 79.3 1 18 
38055 89.15 2 18 
38055 89.15 3 18 
37214 89.15 4 18 
37215 88.62 5 18 
36823 79.3 1 17 
38581 89.15 2 17 
38581 89.15 3 17 
37740 89.15 4 17 
37741 88.62 5 17 
36612 79.3 1 16 
38371 89.15 2 16 
38371 89.15 3 16 
37529 89.15 4 16 
37531 88.62 5 16 
36402 79.3 1 15 
38160 89.15 2 15 
38160 89.15 3 15 
37319 89.15 4 15 
37321 88.62 5 15 
36192 79.3 1 14 
37950 89.15 2 14 
37950 89.15 3 14 
37109 89.15 4 14 
37110 88.62 5 14 
37740 89.15 2 13 
37740 89.15 3 13 
36898 89.15 4 13 
36900 88.62 5 13 
35771 79.3 1 12 
37529 89.15 2 12 
37529 89.15 3 12 
36688 89.15 4 12 
36690 88.62 5 12 
35561 79.3 1 11 
37319 89.15 2 11 
37319 89.15 3 11 
36478 89.15 4 11 
36479 88.62 5 11 
35350 79.3 1 10 
37109 89.15 2 10 
37109 89.15 3 10 
36267 89.15 4 10 
36269 88.62 5 10 
35140 79.3 1 9 
36898 89.15 2 9 
36898 89.15 3 9 
36057 89.15 4 9 
36059 88.62 5 9 
34930 79.3 1 8 
36688 89.15 2 8 
36688 89.15 3 8 
35847 89.15 4 8 
35848 88.62 5 8 
34719 79.3 1 7 
36478 89.15 2 7 
36478 89.15 3 7 
35636 89.15 4 7 
35638 88.62 5 7 
34509 79.3 1 6 
36267 89.15 2 6 
35426 89.15 4 6 
35428 88.62 5 6 
34299 79.3 1 5 
36057 89.15 2 5 
36057 89.15 3 5 
35216 89.15 4 5 
35217 88.62 5 5 
33983 79.3 1 4 
35742 89.15 2 4 
35742 89.15 3 4 
34900 89.15 4 4 
34902 88.62 5 4 
33773 79.3 1 3 
35531 89.15 2 3 
35531 89.15 3 3 
34690 89.15 4 3 
33562 79.3 1 2 
35321 89.15 2 2 
35321 89.15 3 2 
33352 79.3 1 1 
38151 89.34 1 18 
37834 89.87 2 18 
36782 89.87 3 18 
36574 89.87 4 18 
35917 79.94 5 18 
37094 89.87 4 17 
36443 79.94 5 17 
